country,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,sum_2001_2022
Slovenia,30,1998091,1293521,1265618,7768,615,724,528,1272,1951,1246,2107,1857,1951,1434,1436,906,639,5389,1025,5395,4892,8236,3456,3889,2233,2857,54038
Nepal,30,14766250,5161041,4801740,174008,1523,2129,2292,2480,2758,3255,3466,2992,5524,2348,2816,5045,835,1162,579,999,2394,1672,2087,2233,2753,2022,53364
Jamaica,30,1099980,768440,755059,5833,1246,1648,1029,3901,7598,2798,1270,2027,3538,2365,2385,2604,1328,2838,2903,1991,2200,2233,2292,2170,1485,1133,52982
Fiji,30,1808231,1556559,1418744,5410,1098,703,1572,2080,1666,1874,2148,2387,1791,2347,553,1220,2699,3689,1838,8373,3092,1367,1456,2067,7199,989,52208
Switzerland,30,4124550,1544418,1554423,15072,1165,881,433,3830,2321,2049,1852,2419,2274,1738,1940,1518,794,1504,773,1679,2542,3134,3519,3928,3456,1975,45724
Macedonia,30,2482515,781684,614849,12568,2060,890,895,2200,1307,2042,3862,3960,4301,2223,2157,2939,1149,1816,784,1496,1145,1543,1790,1856,2304,2448,45167
Benin,30,11542318,168568,435563,181408,3749,3480,3476,684,1591,1795,4660,482,4929,529,655,2865,1313,1358,598,2016,2238,1826,775,1606,1705,1674,44004
Rwanda,30,2527770,497886,517840,16061,1517,941,1061,1122,822,746,1430,1101,1382,2450,926,1090,2473,2889,2217,2778,2729,4291,2516,3187,2922,2536,43126
Taiwan,30,3640651,2342181,2276151,29315,1159,1005,1125,1858,1522,2077,1730,2311,8162,2460,1461,1460,953,1054,943,3322,2584,1901,1426,1461,1463,1513,42950
Bosnia and Herzegovina,30,5106883,2657977,2579843,53276,1496,693,308,4122,574,536,2682,1552,1296,911,971,2434,2574,1790,581,2308,1339,2674,1232,1842,1019,2054,34988
Burundi,30,2693531,537674,553131,16374,1417,987,1325,614,985,344,1862,1999,883,1905,961,871,1406,2047,1458,1576,1775,2875,2386,1857,2272,1610,33415
Tunisia,30,15486458,223828,169253,10133,231,244,1539,319,633,354,878,718,982,398,2204,1415,1300,2385,1880,1455,8526,903,573,1062,2079,2944,33022
Timor-Leste,30,1491565,726234,692839,11134,677,1605,691,2062,1311,2929,1556,833,2634,649,1463,1887,463,1883,863,1296,1713,1244,1501,1459,1431,1113,31263
Brunei,30,577779,529339,528770,7532,1244,1089,799,1197,1278,1014,1565,1300,2169,967,2620,1837,888,2225,1761,2573,945,807,1169,1166,953,920,30486
Netherlands,30,3766566,593052,710846,60819,736,825,310,1297,1472,1482,1646,1151,1559,3403,1155,947,514,875,894,1407,1333,1271,2481,1922,2457,1186,30323
New Caledonia,30,1882559,1440331,1397592,1855,698,627,884,1510,1472,2135,975,522,976,550,709,838,2282,2050,486,1324,1160,3069,812,4066,656,374,28175
Syria,30,18691798,105940,116470,5711,267,148,115,107,792,281,1577,834,131,241,156,5371,1270,958,2393,1813,2147,903,1177,3038,2856,458,27033
Bahamas,30,1338763,303575,344168,6316,433,701,274,588,1450,1016,605,1949,824,401,625,371,1573,902,1089,3136,3704,914,1558,2696,1549,593,26951
Dominica,30,75428,70925,70694,80,23,12,27,79,52,25,40,93,74,92,44,145,22,12,2,7,23291,779,59,66,30,32,25006
Bhutan,30,3876296,2577235,2508703,28221,298,224,544,1013,770,623,508,775,1175,4354,1091,766,485,1229,747,1963,1972,1240,820,1288,1279,1248,24412
Trinidad and Tobago,30,515900,391844,383300,3320,1829,726,726,734,1229,1756,1109,1270,1377,3407,375,714,759,1569,668,1351,739,947,658,860,316,375,23494
Montenegro,30,1333523,616440,580120,9784,858,180,204,915,172,176,1051,1429,565,211,494,1259,2401,1438,181,1120,1269,1652,647,983,508,1169,18882
Vanuatu,30,1231886,1181152,1148003,303,124,108,529,378,254,219,112,194,1096,308,607,198,1111,634,3476,1341,436,1031,252,3935,58,48,16449
Kosovo,30,1091976,370224,322898,9293,1122,215,261,573,314,520,811,1143,777,468,802,1739,768,761,471,912,626,594,697,971,520,785,15850
Åland,30,150643,107727,103074,2583,397,278,221,736,699,100,248,1292,676,634,466,655,510,550,567,673,735,620,2361,673,1355,1166,15612
Moldova,30,3390781,356012,358429,36546,147,230,101,264,110,173,236,135,188,177,187,1772,167,363,496,833,1092,862,817,1414,1131,1130,12025
Georgia,30,6984457,3144573,2989947,93537,667,536,292,1967,549,531,992,746,448,819,540,473,252,114,43,523,208,300,166,222,420,291,11099
Pakistan,30,87417631,978656,648196,133481,218,325,642,1168,948,1345,1123,1054,921,720,463,239,60,39,2,0,190,76,81,69,63,49,9795
Luxembourg,30,258156,101326,103463,2851,69,90,103,311,68,366,502,984,216,880,448,444,348,430,327,521,413,458,509,655,1055,321,9518
Azerbaijan,30,8623533,1268610,1082394,30270,553,1154,1039,585,246,525,508,472,372,550,147,598,149,328,27,25,80,75,12,23,85,146,7699
Comoros,30,167305,134784,132154,82,37,41,27,40,87,13,78,35,112,92,123,127,1730,1474,429,124,308,218,280,266,165,165,5971
Lebanon,30,1023804,65235,57763,6369,299,81,84,109,300,149,273,394,340,115,139,170,160,160,174,266,288,256,390,473,673,585,5878
Reunion,30,251271,170475,170199,0,29,503,143,0,225,629,0,15,187,223,562,852,1653,675,9,7,0,0,0,0,0,0,5712
Senegal,30,19688983,39568,47869,77187,71,164,38,128,72,41,172,285,161,154,117,85,375,327,293,255,392,301,278,758,177,289,4933
Somalia,30,63353850,87128,146473,4189,339,251,105,215,272,119,271,250,307,140,185,195,316,123,66,86,305,44,374,155,169,126,4413
Iran,30,162173903,1731671,1370815,49762,332,558,327,276,173,141,131,374,191,196,239,407,72,78,0,2,110,68,144,20,21,95,3955
Mali,30,125119256,25098,49160,203580,348,175,34,153,83,104,125,106,158,54,166,79,410,270,204,205,332,299,211,149,130,159,3954
Cyprus,30,571956,89658,91628,3222,79,32,25,88,35,59,778,95,56,64,119,54,14,33,20,569,437,32,43,33,643,73,3381
Mauritius,30,191367,71305,89164,0,157,154,120,329,174,142,132,189,242,23,487,152,219,532,0,0,0,0,0,0,0,0,3052
Martinique,30,111788,74650,77223,678,193,49,288,167,205,91,156,278,199,75,153,308,146,157,32,26,116,51,61,65,44,33,2893
